timestamp,currency,amount,inr_quote,effective_rate,institution_country,institution,payment_country,funding_type,loan_provider_type,loan_provider,payment_method,source_url,status
2026-08-27T14:45:10.111224+05:30,AUD,20000,1398769.0,69.9385,Australia,Melbourne Business School,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:45:31.082944+05:30,AUD,25000,1748461.0,69.9384,Australia,Melbourne Business School,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:45:52.063090+05:30,AUD,30000,2095913.0,69.8638,Australia,Melbourne Business School,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:46:13.083583+05:30,NZD,5000,290083.0,58.0166,New Zealand,University of Waikato,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:46:33.845243+05:30,NZD,10000,579327.0,57.9327,New Zealand,University of Waikato,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:46:54.594563+05:30,NZD,15000,868945.0,57.9297,New Zealand,University of Waikato,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:47:15.328654+05:30,NZD,20000,1157470.0,57.8735,New Zealand,University of Waikato,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:47:36.259346+05:30,NZD,25000,1446838.0,57.8735,New Zealand,University of Waikato,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:47:57.476997+05:30,NZD,30000,1736205.0,57.8735,New Zealand,University of Waikato,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:48:18.562910+05:30,SGD,5000,384004.0,76.8008,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:48:39.676803+05:30,SGD,10000,766832.0,76.6832,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:49:00.673605+05:30,SGD,15000,1149075.0,76.605,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:49:21.669502+05:30,SGD,20000,1532073.0,76.6037,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:49:42.620790+05:30,SGD,25000,1915091.0,76.6036,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
2026-08-27T14:50:03.432832+05:30,SGD,30000,2295769.0,76.5256,Singapore,Curtin Singapore,India,Full Loan Financing,Bank,SBI,Offline bank transfer,https://pay.flywire.com/,current
